energy,intensity,half_life,fraction_m,half_life_m
9.424,20.264544,1866240,0,0
56.28,7.121122836,1866240,0,0
57.535,12.41478877,1866240,0,0
65.315,4.107156219,1866240,0,0
66.067,5.216088398,1866240,0,0
66.981,1.108932179,1866240,0,0
93.13,6.576,558.6,0.5,1866240
151.28,0.0048,558.6,0.5,1866240
203.73,0.00744,558.6,0.5,1866240
204.1,0.00384,558.6,0.5,1866240
213.39,0.08592,558.6,0.5,1866240
256.54,0.00336,558.6,0.5,1866240
269.4,0.01824,558.6,0.5,1866240
970.03,0.0552,558.6,0.5,1866240
1081.52,0.017952,558.6,0.5,1866240
1106.09,0.53568,558.6,0.5,1866240
1174.63,0.015792,558.6,0.5,1866240
1183.38,0.16944,558.6,0.5,1866240
1189.49,0.02256,558.6,0.5,1866240
1199,0,558.6,0.5,1866240
1216.79,0.006624,558.6,0.5,1866240
1254.73,0.03552,558.6,0.5,1866240
1269.23,0.028512,558.6,0.5,1866240
1276.54,0.03552,558.6,0.5,1866240
1309.9,0.04128,558.6,0.5,1866240
1340.85,1.0272,558.6,0.5,1866240
1350.55,1.176,558.6,0.5,1866240
1402.87,0.48,558.6,0.5,1866240
1420.54,0.004176,558.6,0.5,1866240
1434,0,558.6,0.5,1866240
1443.7,0,558.6,0.5,1866240
1468.13,0.01224,558.6,0.5,1866240
1473.32,0.00312,558.6,0.5,1866240
1496.01,0.2688,558.6,0.5,1866240
1513.63,0.004608,558.6,0.5,1866240
1561.3,0.01056,558.6,0.5,1866240
1678.81,0.003696,558.6,0.5,1866240
1772,0,558.6,0.5,1866240
511,2.48,558.6,0.5,1866240
9.114,27.22029908,558.6,0.5,1866240
54.608,24.13873959,558.6,0.5,1866240
55.786,42.24490653,558.6,0.5,1866240
63.333,13.93689808,558.6,0.5,1866240
64.057,17.65804987,558.6,0.5,1866240
64.935,3.721151787,558.6,0.5,1866240
88.857,66.9051,8496,0.5,1866240
93.179,17.3144,8496,0.5,1866240
213.434,80.8319,8496,0.5,1866240
216.64,0.24466,8496,0.5,1866240
325.555,94.1,8496,0.5,1866240
331.608,31.19415,8496,0.5,1866240
426.355,97.3935,8496,0.5,1866240
9.114,50.18651442,8496,0.5,1866240
54.608,39.13543298,8496,0.5,1866240
55.786,68.49043224,8496,0.5,1866240
63.333,22.59548552,8496,0.5,1866240
64.057,28.62848015,8496,0.5,1866240
64.935,6.032994633,8496,0.5,1866240
