energy_p,ta180_np,w181_n,w180_2n,w179_3n,hf177_na,ta178_2nd,hf176_2na,hf175_3na,yb173_n2a,ta179_nd,ta178_nt,hf178_nhe3,w178_4n,ta179_2np,ta178_3np,hf179_n2p,lu176_npa,w182_g,ta181_p,ta180_d,ta179_t,hf179_he3,hf178_a,yb174_2a,hf180_2p,lu177_pa,hf179_pd,hf178_pt,lu176_da
5.00E+06,0.0000E+0,2.2915E-4,0.0000E+0,0.0000E+0,3.0851E-18,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.3541E-5,2.0882E-8,0.0000E+0,0.0000E+0,0.0000E+0,1.0465E-9,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0
6.00E+06,0.0000E+0,2.4842E-3,0.0000E+0,0.0000E+0,1.2310E-14,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,8.7375E-5,2.4994E-6,0.0000E+0,0.0000E+0,0.0000E+0,1.2738E-8,1.0000E-20,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0
7.00E+06,0.0000E+0,1.4540E-2,0.0000E+0,0.0000E+0,4.1075E-12,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,2.6042E-4,8.2042E-5,0.0000E+0,0.0000E+0,0.0000E+0,1.0658E-7,1.9646E-19,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0
8.00E+06,6.5609E-18,5.2282E-2,5.8987E-4,0.0000E+0,2.8939E-10,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,4.8128E-4,1.0116E-3,4.9223E-17,0.0000E+0,0.0000E+0,6.1869E-7,5.4448E-18,0.0000E+0,1.0000E-20,0.0000E+0,0.0000E+0,0.0000E+0
9.00E+06,1.9785E-12,8.7912E-2,4.1569E-2,0.0000E+0,3.0678E-9,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,6.5924E-4,5.4891E-3,6.4513E-12,3.4706E-18,0.0000E+0,2.8057E-6,7.6275E-17,0.0000E+0,8.1852E-20,0.0000E+0,0.0000E+0,0.0000E+0
1.00E+07,5.9467E-10,9.5667E-2,1.3965E-1,0.0000E+0,2.4129E-8,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,7.6269E-4,1.6049E-2,4.5245E-10,1.5149E-14,0.0000E+0,1.1053E-5,5.1410E-15,1.2826E-19,7.5987E-18,0.0000E+0,0.0000E+0,0.0000E+0
1.10E+07,3.0209E-8,8.8603E-2,2.6487E-1,0.0000E+0,1.4538E-7,0.0000E+0,6.7062E-18,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,8.2146E-4,3.2504E-2,6.2291E-8,2.4701E-12,0.0000E+0,3.6621E-5,3.4439E-14,2.5588E-17,2.7466E-16,0.0000E+0,0.0000E+0,0.0000E+0
1.20E+07,6.2306E-7,0.0000E+0,3.9615E-1,0.0000E+0,6.9899E-7,0.0000E+0,4.8890E-14,0.0000E+0,1.0000E-20,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,8.6969E-4,5.4303E-2,1.7753E-6,3.4246E-10,0.0000E+0,1.0104E-4,1.8161E-13,3.7506E-15,1.5704E-14,0.0000E+0,0.0000E+0,0.0000E+0
1.30E+07,6.3313E-6,6.6222E-2,5.2345E-1,0.0000E+0,2.5710E-6,0.0000E+0,6.9879E-12,0.0000E+0,9.8798E-20,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,9.1195E-4,8.0164E-2,2.0857E-5,1.7750E-8,1.8490E-18,2.3279E-4,8.1599E-13,3.7342E-14,1.2273E-13,0.0000E+0,0.0000E+0,0.0000E+0
1.40E+07,3.6019E-5,5.6370E-2,6.4163E-1,0.0000E+0,7.8936E-6,0.0000E+0,3.0804E-10,0.0000E+0,1.5321E-18,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,6.2345E-20,9.4212E-4,1.0687E-1,1.3509E-4,3.7880E-7,1.5462E-15,4.8705E-4,3.1748E-12,1.9230E-13,6.0476E-13,0.0000E+0,0.0000E+0,0.0000E+0
